word,phonetic,pos,definition,example,frequency,difficulty
apple,/ˈæpl/,n.,苹果,"An apple a day keeps the doctor away.",5,1
book,/bʊk/,n.,书本,"I'm reading a good book.",5,1
cat,/kæt/,n.,猫,"The cat is sleeping on the sofa.",5,1
dog,/dɒɡ/,n.,狗,"She has a pet dog.",5,1
egg,/eɡ/,n.,鸡蛋,"I had eggs for breakfast.",5,1
friend,/frend/,n.,朋友,"She is my best friend.",5,1
good,/ɡʊd/,adj.,好的,"That's a good idea.",5,1
house,/haʊs/,n.,房子,"They live in a big house.",5,1
important,/ɪmˈpɔːtnt/,adj.,重要的,"This is an important meeting.",4,2
job,/dʒɒb/,n.,工作,"He has a new job.",5,1
key,/kiː/,n.,钥匙,"I lost my house key.",5,1
love,/lʌv/,n./v.,爱/爱,"I love my family.",5,1
money,/ˈmʌni/,n.,钱,"I need to save some money.",5,1
name,/neɪm/,n.,名字,"What's your name?",5,1
orange,/ˈɒrɪndʒ/,n./adj.,橙子/橙色的,"I like orange juice.",5,1
people,/ˈpiːpl/,n.,人们,"There are many people here.",5,1
question,/ˈkwestʃən/,n.,问题,"Can I ask you a question?",5,1
right,/raɪt/,adj./n.,正确的/权利,"You're right about that.",5,1
study,/ˈstʌdi/,v./n.,学习/研究,"I need to study for my exam.",5,1
time,/taɪm/,n.,时间,"What time is it?",5,1
university,/ˌjuːnɪˈvɜːsəti/,n.,大学,"She studies at the university.",4,2
voice,/vɔɪs/,n.,声音,"She has a beautiful voice.",4,2
water,/ˈwɔːtə(r)/,n.,水,"I need a glass of water.",5,1
xylophone,/ˈzaɪləfəʊn/,n.,木琴,"She can play the xylophone.",2,3
year,/jɪə(r)/,n.,年,"It happened last year.",5,1
zero,/ˈzɪərəʊ/,n.,零,"The temperature is below zero.",4,2
achieve,/əˈtʃiːv/,v.,达成,"She achieved her goal.",3,2
beautiful,/ˈbjuːtɪfl/,adj.,美丽的,"It's a beautiful day.",5,1
computer,/kəmˈpjuːtə(r)/,n.,电脑,"I need a new computer.",5,1
develop,/dɪˈveləp/,v.,发展,"They need to develop new skills.",4,2
experience,/ɪkˈspɪəriəns/,n.,经验,"He has a lot of experience.",4,2
family,/ˈfæməli/,n.,家庭,"Family is important.",5,1
government,/ˈɡʌvənmənt/,n.,政府,"The government announced new policies.",3,2
happy,/ˈhæpi/,adj.,快乐的,"She looks happy today.",5,1
information,/ˌɪnfəˈmeɪʃn/,n.,信息,"I need more information.",4,2
journey,/ˈdʒɜːni/,n.,旅程,"It was a long journey.",4,2
knowledge,/ˈnɒlɪdʒ/,n.,知识,"He has a lot of knowledge about history.",4,2
language,/ˈlæŋɡwɪdʒ/,n.,语言,"English is a global language.",4,2
meeting,/ˈmiːtɪŋ/,n.,会议,"We have a meeting tomorrow.",5,1
number,/ˈnʌmbə(r)/,n.,数字,"What's your phone number?",5,1
opportunity,/ˌɒpəˈtjuːnəti/,n.,机会,"This is a great opportunity.",3,2
problem,/ˈprɒbləm/,n.,问题,"There's a problem with the system.",5,1
quality,/ˈkwɒləti/,n.,质量,"This product is of high quality.",4,2
research,/rɪˈsɜːtʃ/,n./v.,研究,"She is doing research on climate change.",3,2
student,/ˈstjuːdnt/,n.,学生,"He is a university student.",5,1
teacher,/ˈtiːtʃə(r)/,n.,教师,"My math teacher is excellent.",5,1
understand,/ˌʌndəˈstænd/,v.,理解,"Do you understand the question?",5,1
value,/ˈvæljuː/,n.,价值,"Education has great value.",4,2
work,/wɜːk/,n./v.,工作,"I have to work tomorrow.",5,1
young,/jʌŋ/,adj.,年轻的,"They are still young.",5,1
ability,/əˈbɪləti/,n.,能力,"She has the ability to lead.",4,2
